	categories_list
Lupin III Special 12: Missed by a Dollar	[Action, Comedy, Thieves]
Lupin III Special 13: Alcatraz Connection	[Action, Adventure, America, Thieves]
Lupin III Special 14: Episode 0: First Contact	[Action, America, Thieves]
Lupin III Special 15: Operation Return the Treasure	[Action, Comedy, Thieves]
Lupin III Special 16: Stolen Lupin	[Action, Thieves]
Lupin III Special 17: Angel Tactics	[Action, Adventure, Comedy, Thieves]
Lupin III Special 18: Seven Days Rhapsody	[Thieves]
Lupin III Special 19: Kiri no Elusive	[Action, Thieves, TimeTravel]
Lupin III Special 1: Bye Bye Liberty Crisis	[Action, Adventure, America, Thieves]
Lupin III Special 20: Sweet Lost Night	[Action, Thieves]
Lupin III Special 21: Lupin III vs Detective Conan	[Action, Comedy, Crossover, Detectives, Thieves]
Lupin III Special 22: The Last Job	[Action, Thieves]
Lupin III Special 23: Blood Seal - The Eternal Mermaid	[Action, Thieves]
Lupin III Special 2: Hemingway Papers	[Action, Adventure, Thieves]
Lupin III Special 3: Napoleon	[Action, Adventure, Comedy, Thieves]
Lupin III Special 4: From Russia With Love	[America, Thieves]
Lupin III Special 5: Voyage To Danger	[Action, Thieves]
Lupin III Special 6: Dragon of Doom	[Action, Comedy, Thieves]
Lupin III Special 7: The Pursuit of Harimao's Treasure	[Action, Thieves]
Lupin III Special 8: The Secret Of The Twilight Gemini	[Action, Thieves]
Lupin III Special 9: Island of Assassins	[Action, Comedy, Thieves]
Lupin III vs Detective Conan: The Movie	[Action, Comedy, Crossover, Detectives, Thieves]
Lupin III ~Mine Fujiko to Iu Onna~	[Action, Episodic, Nudity, Thieves]
Lupin III: Castle Of Cagliostro	[Action, Thieves]
Lupin III: Dead or Alive	[Action, Comedy, Thieves]
Lupin III: Farewell to Nostradamus	[Action, Comedy, Thieves]
Lupin III: Green vs Red	[Action, Thieves]
Lupin III: Jigen's Gravestone	[Action, Nudity, Thieves, Violence]
Lupin III: Legend of the Gold of Babylon	[America, Thieves]
Lupin III: Lupin Family All-Stars	[]
Lupin III: Part II	[Action, Comedy, BasedonaManga, Episodic, Gunfights, Thieves]
Lupin III: Part III	[Action, Comedy, BasedonaManga, Episodic, Gunfights, Nudity, Thieves]
Lupin III: Princess of the breeze ~Kakusareta Kuuchuu Toshi~	[Thieves]
Lupin III: Return Of Pycal	[Thieves]
Lupin III: Secret Files	[Thieves]
Lupin III: The Fuma Conspiracy	[Action, Adventure, Thieves]
Lupin III: The Secret of Mamo	[Action, Adventure, Thieves]
Lupin III: Touhou Kenbunroku - Another Page	[Thieves]
Lupin Shanshei	[Parody]
Lupin Tai Holmes	[]
Lupin VIII: Arsene and Cie	[]
Lychee DE Light Club	[Comedy, BasedonaManga, Chibi, Parody, SchoolClub]
M3: Sono Kuroki Hagane	[SciFi]
MAPS	[Action, Adventure, SciFi, ExplicitViolence, OuterSpace]
MD Geist	[SciFi, ExplicitViolence, Military, OriginalWork, Post-apocalyptic]
MD Geist II: Death Force	[Action, ExplicitViolence, Military, OriginalWork, Post-apocalyptic]
MIRROR	[]
MM!	[Comedy, Romance, Seinen, BasedonaLightNovel, Fetish, SchoolClub, SchoolLife, Tsundere]
MM! Group: SS!	[]
Maabou no Daikyousou	[BlackandWhite, JapaneseAnimeClassicCollection, Shorts]
Maabou no Kinoshita Toukichirou	[BlackandWhite, JapaneseAnimeClassicCollection, Shorts]
Maburaho	[Ecchi, Harem, SliceofLife, BasedonaLightNovel, Magic, SchoolLife]
Macademi Wasshoi!	[Comedy, Ecchi, BasedonaLightNovel, Magic, PantyShots]
Mach Girl	[]
Machigerita-P: DarkerHalloweenYumYummyGillia	[Vocaloid]
Machigerita-P: Halloween Patisserie Tricka Torka	[Vocaloid]
Machigerita-P: Hocus Pocus Cooking	[Vocaloid]
Machigerita-P: Sweet Poison Factory	[Vocaloid]
Machine Hayabusa	[Racing]
Machine Robo: Revenge of Chronos	[Mecha]
Machine-Doll wa Kizutsukanai	[Action, Ecchi, Fantasy, Master-ServantRelationship, SchoolLife]
Machine-Doll wa Kizutsukanai Specials	[]
Macross 25th Anniversary Special Eizou - ALL THAT VF Macross Zero Version	[]
Macross 25th Anniversary Special Eizou: All That VF Macross F Version	[Mecha]
Macross 7	[Mecha, Romance, SciFi, Aliens, Idols, Military, Music, OuterSpace, SpaceOpera]
Macross 7 Encore	[Drama, Mecha, SciFi, Music]
Macross 7 Plus	[]
Macross 7: The Galaxy is Calling Me	[Mecha, SciFi, Aliens, Music]
Macross Dynamite 7	[Adventure, Mecha, SciFi, Music]
Macross FB7: Ginga Rukon Ore no Uta o Kike!	[Action, Mecha, SciFi, Aliens, Idols, Music]
Macross Frontier	[Action, SciFi, Aliens, Idols, OuterSpace]
Macross Frontier Deculture Edition	[SciFi, Aliens, Idols]
Macross Frontier Music Clip Shuu: Nyankuri	[Idols, Music]
Macross Frontier ~Itsuwari no Utahime~	[Action, Drama, SciFi, Idols]
Macross Frontier: Sayonara no Tsubasa	[Action, Drama, SciFi, Idols]
Macross Fufonfia	[Comedy, Chibi, Omake, Parody]
Macross Fufonfia Specials	[Comedy, Parody]
Macross II: Lovers Again	[Mecha, SciFi, Aliens, Military, Music, OuterSpace, War]
Macross II: The Movie	[SciFi]
Macross Plus	[Mecha, Romance, SciFi, Idols, LoveTriangle, Military]
Macross Plus Movie Edition	[Mecha, Romance, SciFi, Idols, LoveTriangle, Military]
Macross XX	[Mecha, Shorts]
Macross Zero	[Action, Mecha, Romance, SciFi, Aviation, Military, OriginalWork]
Macross 	[Mecha, SciFi, Idols]
Macross: Do You Remember Love	[Mecha, Romance, SciFi, Aliens, LoveTriangle]
Macross: Flash Back 2012	[Mecha, SciFi, Idols, Music]
Mad Bull	[Action, Comedy, DrugUse, ExplicitSex, ExplicitViolence, MatureThemes, PhysicalAbuse, Police, SexualAbuse]
Madara	[Action, Adventure, Fantasy, BasedonaManga, Cyborgs, Monsters, Revenge, Swordplay, Violence]
Madlax	[Mystery, Assassins, Gunfights, OriginalWork, Political, War]
Mado King Granzort	[Mecha]
Mado King Granzort: Bouken Hen	[Fantasy, Mecha]
Mado King Granzort: The Final Magical Battle	[Fantasy, Mecha]
Madobe Nanami no Windows 7 de PC Jisaku Ouen Commercial!!	[Promotional, Shorts]
Madonna	[Comedy, Sports, BasedonaManga, Delinquents, SchoolLife]
Madonna (Keiichi TANAAMI)	[Shorts]
Maetel Legend	[SciFi, BasedonaManga, Cyborgs]
Maeterlinck's Blue Bird	[Adventure, Fantasy, FamilyFriendly]
Magi	[Action, Adventure, Comedy, Fantasy, Magic]
Magi: Sinbad no Bouken	[Action, Adventure, Comedy, Fantasy, BasedonaManga, Magic]
Magi: Sinbad no Bouken TV	[Action, Adventure, Comedy, Fantasy, BasedonaManga, Magic]
Magi: The Kingdom of Magic	[Action, Adventure, Comedy, Fantasy, Magic]
Magic Kaito	[Action, Shounen, Thieves]
Magic Kaito 1412	[Mystery, Thieves]
Magic Knight Rayearth	[Action, Fantasy, MagicalGirl, Mecha, Shoujo, BasedonaManga, Magic, PersoninaStrangeWorld]
Magic Knight Rayearth OVA	[Action, Fantasy, MagicalGirl, Shoujo, BasedonaManga, Magic]
Magic School Lunar! Secret of the Blue Dragon	[Fantasy, Magic, Shorts]
Magic Tree House	[Adventure, BasedonaNovel, Magic, TimeTravel]
Magic Users Club!	[Comedy, Ecchi, Magic, SchoolLife]
Magic Users Club! TV	[Magic]
Magical Angel Creamy Mami	[MagicalGirl, Shoujo, Idols, LoveTriangle, Magic, Music, OriginalWork]
Magical Angel Creamy Mami: Eien no Once More	[]
Magical Angel Creamy Mami: Long Goodbye	[]
Magical Angel Sweet Mint	[MagicalGirl, Shoujo, FamilyFriendly, Magic, OriginalWork]
Magical Canan	[Fantasy, MagicalGirl, BasedonanEroge, BasedonaVisualNovel, Magic]
Magical Chocolate	[Comedy, Romance, Magic, OriginalWork, SchoolLife, Shorts]
Magical Fairy Persia	[MagicalGirl, Shoujo, Magic, OriginalWork]
Magical Girl Lalabel: the Sea Calls for a Summer Vacation	[MagicalGirl, FamilyFriendly, Magic, Shorts]
Magical Girl Lyrical Nanoha	[MagicalGirl, Magic]
Magical Girl Lyrical Nanoha A's	[MagicalGirl, Magic]
Magical Girl Lyrical Nanoha StrikerS	[MagicalGirl, Magic]
Magical Girl Lyrical Nanoha THE MOVIE 3rd Reflection	[]
Magical Girl Lyrical Nanoha The MOVIE 1st	[]
Magical Girl Lyrical Nanoha The MOVIE 2nd A's	[MagicalGirl, Magic]
Magical Girl Lyrical Nanoha ViVid	[MagicalGirl, AgeTransformation, BasedonaManga, Magic]
Magical Girl Lyrical Nanoha ViVid Recap	[MagicalGirl, BasedonaManga, Magic, Recap]
Magical Girl Lyrical Nanoha: Lyrical Toy Box	[]
Magical Girl Pretty Sammy	[MagicalGirl, Magic]
Magical Girl Pretty Sammy Specials	[]
Magical Meow Meow Taruto	[Magic]
Magical Play	[Comedy, Fantasy, MagicalGirl, Magic, OriginalWork]
Magical Play 3D	[Comedy, Fantasy, MagicalGirl, Magic, OriginalWork]
Magical Pokan	[Comedy, Fantasy, Magic, OriginalWork, Vampires]
Magical Pokan Specials	[]
Magical Princess Minky Momo vs. Magical Angel Creamy Mami	[Action, MagicalGirl, Shoujo, Crossover, Magic, Shorts]
Magical Project S	[MagicalGirl, Magic]
Magical Ptissier Kosaki-chan	[Comedy, Fantasy, Harem, MagicalGirl, Romance, SliceofLife, BasedonaManga, Magic]
Magical Shopping Arcade Abenobashi	[Comedy, Fantasy, Magic, OriginalWork, Parody, PersoninaStrangeWorld]
Magical Stage Fancy Lala	[Fantasy, MagicalGirl, Shoujo, Idols, Magic]
Magical Star Magical Emi	[MagicalGirl, Magic, OriginalWork]
Magical Suite Prism Nana	[MagicalGirl, Magic, Promotional]
Magikano	[Comedy, Ecchi, Fantasy, Harem, Romance, BasedonaManga, Magic, PantyShots]
Magimoji Rurumo	[Comedy, Fantasy, Shounen, BasedonaManga]
Magnerobo Ga-Keen	[Mecha, CombiningMecha]
Mahjong Hishouden: Naki no Ryuu	[Drama, Seinen, BasedonaManga, Mahjong, Psychological]
Mahoraba ~Heartful Days~	[Comedy, Drama, Romance, SliceofLife, BasedonaManga]
Mahoromatic	[Comedy, Ecchi, SciFi, Androids, BasedonaManga, Maids, Robots]
Mahoromatic 2	[Comedy, Ecchi, Maids]
Mahoromatic 2: Year End Special	[Recap]
Mahoromatic: Summer Special	[Comedy, Ecchi, Androids, Maids, Robots]
Mahoromatic: Tadaima Okaeri	[Comedy, Ecchi, Androids, Maids, Robots]
Mahoromatic: Year End Special	[Recap]
Mahou Sensei Negima!	[Comedy, Fantasy, Harem, Romance, BasedonaManga, Magic, MagicSchool, SchoolLife]
Mahou Sensei Negima! Introduction Film	[]
Mahou Sensei Negima! ~Mou Hitotsu Sekai~ Magical Girl Yue	[]
Mahou Sensei Negima! ~Mou Hitotsu no Sekai~	[Magic]
Mahou Sensei Negima! ~Shiroki Tsubasa Ala Alba~	[Comedy, Fantasy, Magic]
Mahou Sensou	[Action, Fantasy, Magic, SchoolLife]
Mahou Shoujo Ikusei Keikaku	[Action, Fantasy, MagicalGirl, BasedonaLightNovel, Magic, Survival]
Mahou Shoujo Madoka Magica	[Fantasy, MagicalGirl, Magic, OriginalWork, Psychological, SchoolLife]
Mahou Shoujo Madoka Magica Movie 1: Hajimari no Monogatari	[Fantasy, MagicalGirl, Magic, Psychological, Recap, SchoolLife]
Mahou Shoujo Madoka Magica Movie 2: Eien no Monogatari	[Fantasy, MagicalGirl, Magic, Psychological, Recap]
Mahou Shoujo Madoka Magica Movie 3: Hangyaku no Monogatari	[Fantasy, MagicalGirl, Magic, Psychological]
Mahou Shoujo Nante Mou Ii Desu kara.	[Comedy, Fantasy, MagicalGirl, BasedonaManga, Magic]
Mahou Shoujo SonicoMagica	[MagicalGirl, Shoujo, Magic, Parody]
Mahou Shoujo Tai Arusu	[Fantasy, PersoninaStrangeWorld]
Mahou Shoujo Tai: The Adventure	[Adventure, Fantasy, Episodic, Magic, PersoninaStrangeWorld]
Mahou Shoujo Taisen	[Action, Comedy, Fantasy, MagicalGirl, BasedonaVideoGame, Magic]
Mahou Tsukai Jiji	[]
Mahou Tsukai Nara Miso o Kue!	[Action, Ecchi, Magic, Promotional, Shorts]
Mahou Tsukai Sally	[MagicalGirl, Shoujo, FamilyFriendly, Magic, SchoolLife]
Mahou Tsukai Sally Movie	[]
Mahou Tsukai ni Taisetsu na Koto: Natsu no Sora	[SliceofLife, Magic, MagicSchool]
Mahou no Hiroba	[StopMotionAnimation]
Mahou no Idol Pastel Yumi	[MagicalGirl, Shoujo, Magic, OriginalWork]
Mahou no Mako-chan	[]
Mahou no Star Magical Emi Semishigure	[]
Mahou no Star Magical Emi: Kumo Hikaru	[]
Mahoujin Guru Guru	[Adventure, Comedy, Fantasy, Parody]
Mahoujin Guru Guru Doki Doki Legend	[Adventure, Comedy, Fantasy, Parody]
Mahoujin Guru Guru Movie	[Adventure, Comedy, Fantasy, Dragons, Parody]
Mahouka Koukou no Rettousei: Yoku Wakaru Mahouka	[Comedy, BasedonaLightNovel, Chibi, Magic, MagicSchool]
Mahouka Koukou no Rettousei: Yoku Wakaru Mahouka Special	[Comedy, BasedonaLightNovel, Magic, MagicSchool]
Mai Mai Miracle	[Drama, SliceofLife, FamilyFriendly]
Mai no Mahou to Katei no Hi	[]
Mai-Otome	[Comedy, Fantasy, SciFi, OriginalWork, Superpowers]
Mai-Otome 0 ~S.ifr~	[Ecchi, Fantasy, SciFi, Superpowers]
Mai-Otome Specials	[Fantasy, SciFi, Superpowers]
Mai-Otome Zwei	[Fantasy, SciFi, Superpowers]
Mai-Otome: Otome no Inori	[PictureDrama]
Maicching Machiko-sensei	[Comedy, Ecchi, PantyShots]
Maid of the Dead	[Horror, ExplicitViolence, Maids, Shorts, StopMotionAnimation, Zombies]
Maiden Rose	[Drama, ExplicitSex, MatureThemes, Military, PhysicalAbuse, SexualAbuse, War, Yaoi]
Maido! Urayasu Tekkin Kazoku	[Comedy]
Mainichi Kaasan	[Comedy, SliceofLife, BasedonaManga]
Maison Ikkoku	[Comedy, Drama, Romance, BasedonaManga, BoardingHouse, ComingofAge, LoveTriangle]
Maison Ikkoku: Kanketsuhen	[]
Maison Ikkoku: Prelude, When the Cherry Blossoms in the Springtime Return	[Drama]
Maison Ikkoku: Shipwrecked on Ikkoku Island	[Comedy]
Maison Ikkoku: Through the Passing of the Seasons	[Drama, Romance, LoveTriangle]
Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo	[Comedy, MagicalGirl, Magic]
Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo The TV	[MagicalGirl, Magic]
Maji de Watashi ni Koi Shinasai!!	[Action, Comedy, Ecchi, Harem, Romance, BasedonanEroge, BasedonaVisualNovel, Nudity, Samurai, SchoolLife, SexualContent, Superpowers]
Majime ni Fumajime Kaiketsu Zorori	[Adventure, AnimalProtagonists, FamilyFriendly]
Majin Bone	[]
Majin Sentai Death Ranger: Ubawareta Pudding!	[Comedy, Shorts, StopMotionAnimation]
Majin Tantei Nougami Neuro	[Mystery, BasedonaManga, Demons, Detectives, Supernatural]
Majokko Club Yonin-gumi: A Kuukan Kara no Alien X	[Crossover, OriginalWork]
Majokko Megu-chan	[Comedy, Drama, MagicalGirl, Shoujo, Magic, SchoolLife]
Majokko Shimai no Yoyo to Nene	[Fantasy, BasedonaManga, Magic, PersoninaStrangeWorld]
Majokko Shimai no Yoyo to Nene Movie Extra: Hatsukoi - Mikako Komatsu	[Music]
Majokko Tickle	[]
Majokko Tsukune-chan	[Comedy, BasedonaManga, Magic]
Major Season 1	[Drama, Shounen, Sports, Baseball, BasedonaManga, ComingofAge]
Major Season 2	[Drama, Shounen, Sports, Baseball, BasedonaManga]
Major Season 3	[Drama, Shounen, Sports, Baseball, BasedonaManga]
Major Season 4	[Drama, Shounen, Sports, Baseball, BasedonaManga]
Major Season 5	[Drama, Shounen, Sports, Baseball, BasedonaManga]
Major Season 6	[Drama, Shounen, Sports, America, Baseball, BasedonaManga]
Major: Message	[Drama, Sports, Baseball]
Major: World Series	[Sports, Baseball]
Majuu Sensen: The Apocalypse	[Action, SciFi, BasedonaManga, Demons, ExplicitViolence, Monsters, Nudity]
Makai Senki Disgaea: Welcome to Netherworld	[Action, Comedy, Fantasy, Angels, Demons]
Maken Liner 0011 Henshin Seyo!	[SciFi, Aliens, Cyborgs]
Maken-ki!	[Ecchi, Fantasy, Harem, BasedonaManga, Magic, PantyShots, SchoolLife]
Maken-ki! OVA	[Ecchi, Harem]
Maken-ki! Specials	[]
Maken-ki! Two	[Ecchi, Fantasy, Harem, BasedonaManga, Magic, SchoolLife]
Maken-ki! Two Specials	[]
Maken-ki! Two: Takeru Nyotaika!? Minami no Shima de Supoon	[Ecchi]
Makkuramori no Uta	[MinnanoUta]
Makura no Danshi	[SliceofLife, OriginalWork]
Makura no Danshi Special	[SliceofLife, OriginalWork]
Makyuu Senjou	[Action, America, Superpowers, Violence]
Male	[AnimalProtagonists, Shorts]
Malice@Doll	[Horror, SciFi, Androids, CGAnimation, ExplicitSex, Post-apocalyptic, Robots]
Mama is a 4th Grader	[Comedy, Drama, SciFi]
Mameshiba	[Comedy, Episodic, FoodandBeverage, FoodProtagonists]
Mamoru-kun ni Megami no Shukufuku wo!	[Comedy, Ecchi, Romance, BasedonaLightNovel, SchoolLife]
Mamotte Shugogetten!	[Comedy, Romance, Magic]
Mamotte! Lollipop	[Comedy, Fantasy, Romance, Shoujo, BasedonaManga, Magic]
Man and Whale	[Environmental, Shorts]
Manabi Straight!	[Comedy, SliceofLife, SchoolLife]
Manabi Straight! Special	[SliceofLife]
Manabu no Natsuyasumi	[]
Manga	[Comedy, Shorts]
Manga Mitokoumon	[]
Manga Nihonshi	[]
Manga Sarutobi Sasuke	[]
Mangaka-san to Assistant-san to	[Comedy, Ecchi, SliceofLife, BasedonaManga, MangaIndustry, OtakuCulture]
Mangaka-san to Assistant-san to Specials	[Comedy, Ecchi, SliceofLife, MangaIndustry, OtakuCulture]
Mangirl!	[Comedy, SliceofLife, MangaIndustry, OtakuCulture, WorkLife]
Mangirl! Asobu Henshuu Girl	[]
Manyuu Hiken-chou	[Action, Ecchi, Seinen, BasedonaManga, Nudity, Samurai, SexualContent, Swordplay]
Manyuu Hiken-chou Picture Drama	[Ecchi, Nudity, PictureDrama, SexualContent]
Manyuu Hiken-chou Specials	[Ecchi, Nudity, SexualContent]
Mao-chan	[Comedy, MagicalGirl, Aliens, FamilyFriendly, Magic, Military, Monster-of-the-week, Parody, SchoolLife]
Maoyuu Maou Yuusha	[Fantasy, Romance, BasedonaLightNovel, Demons, Medieval]
Maoyuu Maou Yuusha: Kono Monogatari wa, Daniku Dake Dewanai no ja!	[Fantasy, Romance, BasedonaLightNovel, Demons, Medieval, Recap]
Maple Story	[Adventure, Fantasy]
Maple Story Special	[Adventure, Fantasy]
Maple Town	[AnimalProtagonists, FamilyFriendly]
Mar	[Action, Adventure, Fantasy, Shounen, BasedonaManga, PersoninaStrangeWorld, Superpowers]
Marching Giraffes	[AnimalProtagonists, Shorts]
Marco	[BasedonaNovel, WorldMasterpieceTheater]
Mardock Scramble: The First Compression	[SciFi, DrugUse, ExplicitSex, ExplicitViolence, MatureThemes, PhysicalAbuse, SexualAbuse]
Mardock Scramble: The Second Combustion	[SciFi]
Mardock Scramble: The Third Exhaust	[SciFi]
Marginal Prince	[Romance, Shounen-ai, SchoolLife]
Maria Holic	[Comedy, Shoujo-ai, BasedonaManga, Chibi, Crossdressing, LGBTThemes, SchoolLife]
Maria Holic Alive	[Comedy, Shoujo-ai, BasedonaManga, Chibi, Crossdressing, LGBTThemes, SchoolLife]
Maria-sama ga Miteru	[Drama, Shoujo-ai, BasedonaLightNovel, SchoolLife]
Maria-sama ga Miteru 3rd	[Drama, Shoujo-ai, BasedonaLightNovel, SchoolLife]
Maria-sama ga Miteru 3rd Specials	[Comedy, Shoujo-ai, Omake]
Maria-sama ga Miteru 4th	[Drama, Shoujo-ai, BasedonaLightNovel, SchoolLife]
Maria-sama ga Miteru 4th Specials	[Comedy, Shoujo-ai, Omake]
Maria-sama ga Miteru Specials	[Comedy, Shoujo-ai, Omake]
Maria-sama ga Miteru ~Haru~	[Drama, Shoujo-ai, BasedonaLightNovel, SchoolLife]
Maria-sama ga Miteru ~Haru~ Specials	[Comedy, Shoujo-ai, Omake]
Marie & Gali	[Comedy, SliceofLife, PersoninaStrangeWorld, Science]
Marie & Gali Episode 0	[]
Marie & Gali Special	[]
Marie & Gali ver. 2.0	[Comedy]
Marimo no Hana: Saikyou Butouha Shougakusei Densetsu	[Action, BasedonaManga, SchoolLife]
Maris the Chojo	[Comedy, SciFi, Police, Superpowers]
Marmalade Boy	[Comedy, Drama, Romance, Shoujo, BasedonaManga, LoveTriangle]
Marmalade Boy: The Movie	[Comedy, Romance]
Maroko	[SciFi, Abstract, Incest, TimeTravel]
Marriage	[Romance]
Mars Daybreak	[Action, Mecha, SciFi, Military, Pirates]
Mars of Destruction	[Action, SciFi, Aliens, BasedonaVideoGame, Military]
Martian Successor Nadesico	[Action, Comedy, Drama, Harem, Mecha, Romance, SciFi, OriginalWork, OuterSpace]
Martian Successor Nadesico: Prince Of Darkness	[SciFi, OuterSpace]
Maruosa: Arson Hacks	[Parody]
Marvel Disk Wars: The Avengers	[Action, Adventure, SciFi, Shounen, BasedonaComicBook, MarvelComics, Superpowers]
Marvelous Melmo	[Comedy, Fantasy, Shoujo, AgeTransformation, BasedonaManga]
Maryuu Senki	[]
Masayoshi Yamazaki: One More Time, One More Chance	[]
Mashin Eiyuuden Wataru	[Adventure, Comedy, Mecha, SciFi, PersoninaStrangeWorld]
Mashin Eiyuuden Wataru 2	[]
Mashin Eiyuuden Wataru: Owarinaki Toki no Monogatari	[Fantasy, PersoninaStrangeWorld]
Mashin Eiyuuden Wataru: Soukaizan Eiyuu Densetsu	[]
Mashiro-Iro Symphony: The Color of Lovers	[Drama, Harem, Romance, BasedonanEroge, BasedonaVisualNovel, SchoolClub, SchoolLife, SexualContent, Tsundere]
Mashiro-Iro Symphony: The Color of Lovers Picture Drama	[BasedonanEroge, BasedonaVisualNovel, PictureDrama]
Mashiro-iro Symphony: Airi ga Anata no Kanojo ni!?	[Romance, BasedonanEroge, BasedonaVisualNovel]
Mask Of Zeguy	[Action, Adventure, Fantasy, SciFi, PersoninaStrangeWorld]
Masou Gakuen HxH	[BasedonaLightNovel]
Mass Effect: Paragon Lost	[SciFi, BasedonaVideoGame]
Massugu ni Ikou	[Comedy, SliceofLife, AnimalProtagonists]
Massugu ni Ikou (2004)	[Comedy, SliceofLife, AnimalProtagonists]
Master Keaton	[Adventure, Seinen, BasedonaManga, Detectives, Episodic, Europe, WorkLife]
Master Keaton OVA	[Adventure, Seinen, BasedonaManga, Detectives, Episodic, Europe, WorkLife]
Master of Epic: The Animation Age	[Adventure, Comedy, BasedonaVideoGame, MMORPG, Parody]
Master of Mosquiton 99	[Vampires]
Master of Mosquiton OVA	[Vampires]
Master of Torque	[Promotional]
Master of Torque 2	[Promotional]
Masterlink: Super Speed	[]
Mawaru Penguin Drum	[Comedy, Drama, OriginalWork, Psychological, Supernatural]
Maya the Bee	[AnimalProtagonists, FamilyFriendly]
Mayo Chiki!	[Comedy, Ecchi, Romance, BasedonaLightNovel, Crossdressing, Gynophobia, SchoolLife]
Mayoi Neko Overrun!	[Comedy, Ecchi, SliceofLife, BasedonaLightNovel, Tsundere]
Mayoi Neko Overrun! Specials	[]
Maze	[Action, Adventure, Ecchi, Fantasy, Mecha, GenderBender, Medieval, PersoninaStrangeWorld]
Maze Bakunetsu Jikuu: Hot Springs	[]
Maze Bakunetsu Jikuu: Tenpen Kyoui no Giant	[]
Maze OVA	[Action, Adventure, Ecchi, Mecha, GenderBender, Medieval, Nudity, PersoninaStrangeWorld]
Mazinger Z	[Action, Mecha, SciFi, Monster-of-the-week]
Mazinger Z Movie	[Mecha]
Mazinger Z vs Dark General	[Action, Mecha, Crossover]
Mazinger Z vs Devilman	[Action, Mecha, Crossover, Demons]
Mazinger Z vs Dr. Hell	[Action, Mecha]
Mazinkaiser	[Action, Mecha, SciFi, Violence]
Mazinkaiser SKL	[Action, Mecha, SciFi, Violence]
Mazinkaiser: Shitou! Ankoku Dai Shogun	[Action, Mecha, SciFi, Violence]
Me Gumi no Daigo	[Drama]
Me! Me! Me!	[JapanAnimator'sExhibition, MatureThemes, Nudity, SexualContent, Shorts]
Me! Me! Me! Chronic	[JapanAnimator'sExhibition, MatureThemes, Nudity, SexualContent, Shorts]
Mecha Afro-kun	[]
Medabots	[Action, Shounen, Robots, Tournaments]
Medabots Damashii	[SciFi]
Medaka Box	[Action, Shounen, BasedonaManga, SchoolLife]
Medaka Box Abnormal	[Action, Shounen, BasedonaManga, SchoolLife]
Medamayaki no Kimi Itsu Tsubusu?	[Comedy, FlashAnimation, FoodandBeverage]
MegaMan Maverick Hunter X: The Day of Sigma	[Action, SciFi, Robots]
Megami Paradise	[Ecchi, Fantasy]
Megane na Kanojo	[Comedy, Romance, Episodic]
Meganebu!	[Comedy, SliceofLife, SchoolClub, SchoolLife]
Megazone 23	[Action, Mecha, SciFi, Idols, Military]
Megazone 23 Part II	[Action, Mecha, SciFi, Military, OuterSpace, War]
Megazone 23 Part III	[Action, Mecha, SciFi, Cyberpunk, Hacking]
Megumi	[Historical, Political]
Meguriau Sekai	[Drama, Romance, Shorts]
Mei to Koneko Bus	[Adventure, Fantasy, FamilyFriendly, GhibliMuseumShorts, Shorts]
Meiji Tokyo Renka	[Fantasy, ReverseHarem, Romance, BasedonanOtomeGame, BasedonaVisualNovel, TimeTravel]
Meiken Lassie	[WorldMasterpieceTheater]
Meiko Haigo: Dore Dore no Uta	[AnimalProtagonists, FamilyFriendly]
Meimon! Daisan Yakyuubu	[Sports, Baseball, FamilyFriendly]
Meine Liebe	[Europe, Political]
Meine Liebe Wieder	[Europe, Political]
Meisou! Underworld	[]
Meitantei Rascal	[Adventure, AnimalProtagonists, Detectives]
Mekaku City Actors	[Action, Comedy, Drama, Mystery, Supernatural]
Melancholy of Haruhi Suzumiya (2009)	[Comedy, SchoolClub, SchoolLife]
Melancholy of Haruhi-chan Suzumiya	[Comedy, Chibi, Parody, SchoolLife]
Melody	[Drama, AnimalProtagonists, Shorts]
Melody of Oblivion	[Ecchi, Mystery, SciFi, Superpowers]
Melty Lancer	[Action, SciFi, Mercenaries]
Memoirs of Amorous Gentlemen	[BasedonaManga, Europe, JapanAnimator'sExhibition, MatureThemes, SexualContent, Shorts]
Memories	[SciFi, Collections]
Memories Hidden in Darkness	[Shorts]
Memories Off	[Romance]
Memories Off #5	[Romance]
Memories Off 2nd	[Romance]
Memories Off 3.5	[Romance]
Memory	[Shorts]
Memory (2009)	[Post-apocalyptic, Shorts]
Merci Merci Me: Wakie Wakie	[]
Mermaid Forest	[Horror, Mermaids, Nudity]
Mermaid Forest TV	[Horror, Episodic, Mermaids]
Mermaid Melody Pichi Pichi Pitch	[Fantasy, Shoujo, BasedonaManga, FamilyFriendly, Mermaids, Music]
Mermaid Melody Pichi Pichi Pitch Pure	[BasedonaManga, FamilyFriendly, Magic, Mermaids, Music]
Mermaid's Scar	[Horror, Mermaids]
Meshimase Lodoss-tou Senki: Sorette Oishii no?	[]
Metal Armor Dragonar	[Mecha]
Metal Fight Beyblade	[Action, Adventure, SciFi, Shounen, BasedonaManga, FamilyFriendly, Monsters]
Metal Fight Beyblade 4D	[Action, Adventure, SciFi, BasedonaManga, FamilyFriendly, Monsters]
Metal Fight Beyblade Zero G	[Action, Adventure, SciFi, Shounen, BasedonaManga, FamilyFriendly, Monsters]
